County,State,Air_Pollution_Score
Ada County,ID,0.3847777777777778
Adams County,CO,0.44674638115204157
Adams County,PA,0.42092392932015577
Aguas Buenas Municipio,PR,0.6511666666666667
Aibonito Municipio,PR,0.6511666666666667
Aiken County,SC,0.7867857142857135
Alachua County,FL,0.8399999999999999
Alameda County,CA,0.3423873515024458
Albany County,NY,0.4879523809523809
Albany County,WY,0.8052380952380952
Alexander County,NC,0.7741666666666667
Alexandria city,VA,0.44864854746930216
Allegan County,MI,0.8095238095238095
Allegheny County,PA,0.47162314465408806
Allen County,IN,0.9142857142857143
Allen County,KY,0.8828571428571428
Allen County,OH,0.9457142857142855
Amelia County,VA,0.392412623539982
Anchorage Municipality,AK,0.3602777777777777
Anderson County,TN,0.8657142857142857
Anne Arundel County,MD,0.49842917041030244
Anoka County,MN,0.39595857043026833
Anson County,NC,0.5726205450733753
Aransas County,TX,0.5468730158730158
Arapahoe County,CO,0.44674638115204157
Arlington County,VA,0.44864854746930216
Armstrong County,PA,0.47162314465408806
Ascension Parish,LA,0.4114077867625038
Assumption Parish,LA,0.4114077867625038
Atascosa County,TX,0.5068475591494459
Athens County,OH,0.5166666666666667
Atlantic County,NJ,0.5366666666666667
Austin County,TX,0.45472457821703105
Autauga County,AL,0.8314285714285699
Baker County,FL,0.48519766397124886
Baldwin County,AL,0.7476190476190475
Ballard County,KY,0.38740700808625333
Baltimore County,MD,0.49842917041030244
Baltimore city,MD,0.49842917041030244
Bandera County,TX,0.5068475591494459
Bannock County,ID,0.624
Barceloneta Municipio,PR,0.6511666666666667
Barnstable County,MA,0.9085714285714286
Barranquitas Municipio,PR,0.6511666666666667
Barrow County,GA,0.5735079365079365
Barry County,MI,0.5671031746031745
Bartow County,GA,0.5735079365079365
Bastrop County,TX,0.7
Bates County,MO,0.38596292303084756
Bay County,FL,0.8399999999999999
Bay County,MI,0.5583333333333333
Bayamón Municipio,PR,0.6511666666666667
Beaver County,PA,0.47162314465408806
Belknap County,NH,0.5827380952380953
Bell County,KY,0.7636904761904761
Belmont County,OH,0.599015873015873
Bennington County,VT,0.8399999999999999
Benton County,IA,0.9142857142857143
Benton County,IN,0.9399999999999998
Benton County,MN,0.5983333333333333
Benton County,MS,0.9628571428571427
Benzie County,MI,0.9457142857142855
Bergen County,NJ,0.3789288210042927
Berkeley County,SC,0.39474860736747497
Berkeley County,WV,0.7609523809523809
Bernalillo County,NM,0.5624060497154837
Berrien County,MI,1.0428571428571427
Bexar County,TX,0.5068475591494459
Bibb County,AL,0.4518203174603174
Bibb County,GA,0.7975000000000001
Billings County,ND,0.45223809523809516
Black Hawk County,IA,0.9114285714285713
Blair County,PA,0.4902857142857143
Blount County,AL,0.4518203174603174
Blount County,TN,0.8657142857142857
Boise County,ID,0.3847777777777778
Bolivar County,MS,0.9028571428571429
Bond County,IL,0.47221707097933513
Bonneville County,ID,0.897142857142857
Boone County,AR,0.8714285714285713
Boone County,IL,0.9885714285714284
Boone County,IN,0.5999404761904762
Boone County,KY,0.6791428571428572
Boone County,WV,0.7616666666666667
Bossier Parish,LA,0.8599999999999999
Botetourt County,VA,0.3247798742138364
Boulder County,CO,0.44033333333333335
Bourbon County,KY,0.4245846810422282
Boyd County,KY,0.38657502246181485
Bracken County,KY,0.6791428571428572
Brantley County,GA,0.7291666666666659
Brazoria County,TX,0.45472457821703105
Bremer County,IA,0.9114285714285713
Brevard County,FL,0.6949999999999998
Bristol County,MA,0.3493333333333333
Bristol County,RI,0.3493333333333333
Bristol city,VA,0.7272619047619047
Bronx County,NY,0.3789288210042927
Brooke County,WV,0.5771071428571428
Brooks County,GA,0.7000000000000001
Broomfield County,CO,0.44674638115204157
Broward County,FL,0.3261608265947889
Brown County,IN,0.5999404761904762
Brown County,OH,0.6791428571428572
Brown County,WI,0.5468730158730158
Brunswick County,NC,0.857142857142857
Bryan County,GA,0.6010476190476183
Bucks County,PA,0.38780988319856247
Bullitt County,KY,0.5204761904761904
Buncombe County,NC,0.6891666666666666
Burke County,GA,0.7867857142857135
Burke County,NC,0.7741666666666667
Burleigh County,ND,0.4149339622641509
Burlington County,NJ,0.38780988319856247
Butler County,KS,0.46012506738544473
Butler County,KY,0.8828571428571428
Butler County,OH,0.6791428571428572
Butler County,PA,0.47162314465408806
Butte County,CA,0.9542857142857142
Butte County,ID,0.897142857142857
Butts County,GA,0.5735079365079365
Cabarrus County,NC,0.5726205450733753
Cabell County,WV,0.38657502246181485
Caddo Parish,LA,0.8599999999999999
Caguas Municipio,PR,0.6511666666666667
Calcasieu Parish,LA,0.5727301587301588
Caldwell County,MO,0.38596292303084756
Caldwell County,NC,0.7741666666666667
Caldwell County,TX,0.7
Calhoun County,IL,0.47221707097933513
Calhoun County,SC,0.7355952380952381
Calumet County,WI,0.7749999999999999
Cambria County,PA,0.3732991414595186
Camden County,NC,0.5103174603174598
Camden County,NJ,0.38780988319856247
Cameron Parish,LA,0.5727301587301588
Campbell County,KY,0.6791428571428572
Campbell County,TN,0.8657142857142857
Campbell County,WY,0.46687343516022767
Canadian County,OK,0.6422539682539682
Cannon County,TN,0.5222641509433962
Canyon County,ID,0.3847777777777778
Canóvanas Municipio,PR,0.6511666666666667
Cape May County,NJ,0.5366666666666667
Capitol Planning Region,CT,0.5671638215034441
Carbon County,MT,0.27466666666666667
Carbon County,PA,0.5149115004492362
Carlisle County,KY,0.38740700808625333
Carlton County,MN,0.5501904761904757
Carolina Municipio,PR,0.6511666666666667
Carroll County,GA,0.5735079365079365
Carroll County,IN,0.9399999999999998
Carroll County,MD,0.49842917041030244
Carroll County,OH,0.8436904761904762
Carter County,KY,0.38657502246181485
Carteret County,NC,0.8714285714285713
Carver County,MN,0.39595857043026833
Cass County,MI,0.9628571428571427
Cass County,MO,0.38596292303084756
Cass County,ND,0.4154393530997304
Cass County,NE,0.5221333333333334
Catawba County,NC,0.7741666666666667
Cataño Municipio,PR,0.6511666666666667
Catoosa County,GA,0.799047619047619
Cayey Municipio,PR,0.6511666666666667
Cecil County,MD,0.38780988319856247
Ceiba Municipio,PR,0.6511666666666667
Centre County,PA,0.5196376160527104
Cerro Gordo County,IA,0.3653333333333333
Chambers County,TX,0.45472457821703105
Charles City County,VA,0.392412623539982
Charles County,MD,0.44864854746930216
Charleston County,SC,0.39474860736747497
Chatham County,GA,0.6010476190476183
Chatham County,NC,0.8628571428571413
Chattahoochee County,GA,0.8514285714285713
Chautauqua County,NY,0.5028571428571428
Cheatham County,TN,0.5222641509433962
Cherokee County,GA,0.5735079365079365
Cherokee County,KS,0.7573333333333333
Chesapeake city,VA,0.5103174603174598
Cheshire County,NH,0.6697619047619048
Chester County,PA,0.38780988319856247
Chester County,SC,0.5726205450733753
Chesterfield County,VA,0.392412623539982
Chilton County,AL,0.4518203174603174
Chisago County,MN,0.39595857043026833
Chittenden County,VT,0.8342857142857129
Christian County,KY,0.7805952380952372
Christian County,MO,0.8999999999999999
Ciales Municipio,PR,0.6511666666666667
Cidra Municipio,PR,0.6511666666666667
Clackamas County,OR,0.6322486772486772
Clark County,AR,0.8428571428571427
Clark County,IN,0.5204761904761904
Clark County,KY,0.4245846810422282
Clark County,NV,0.6035404761904762
Clark County,OH,0.8385714285714286
Clark County,WA,0.6322486772486772
Clarke County,GA,0.8857142857142857
Clarke County,MS,0.8028571428571414
Clarke County,VA,0.44864854746930216
Clay County,FL,0.48519766397124886
Clay County,IN,0.583079365079365
Clay County,MN,0.4154393530997304
Clay County,MO,0.38596292303084756
Clay County,WV,0.7616666666666667
Clayton County,GA,0.5735079365079365
Clear Creek County,CO,0.44674638115204157
Clearfield County,PA,0.7742857142857141
Clermont County,OH,0.6791428571428572
Cleveland County,OK,0.6422539682539682
Clinton County,IA,0.6633015873015873
Clinton County,IL,0.47221707097933513
Clinton County,MI,0.897142857142857
Clinton County,MO,0.38596292303084756
Clinton County,OH,0.9342857142857142
Cobb County,GA,0.5735079365079365
Cochise County,AZ,0.9428571428571428
Coconino County,AZ,0.897142857142857
Collier County,FL,0.8314285714285699
Collin County,TX,0.5075667115902965
Colonial Heights city,VA,0.392412623539982
Columbia County,FL,0.8342857142857142
Columbia County,GA,0.7867857142857135
Columbia County,OR,0.6322486772486772
Columbia County,WI,0.8226190476190476
Columbiana County,OH,0.21066666666666667
Comal County,TX,0.5068475591494459
Comerío Municipio,PR,0.6511666666666667
Contra Costa County,CA,0.3423873515024458
Cook County,IL,0.4911651991614256
Corozal Municipio,PR,0.6511666666666667
Coweta County,GA,0.5735079365079365
Craig County,VA,0.3247798742138364
Crawford County,GA,0.7975000000000001
Creek County,OK,0.47187017070979337
Crittenden County,AR,0.9628571428571427
Culpeper County,VA,0.44864854746930216
Cumberland County,IL,0.9428571428571428
Cumberland County,ME,0.897142857142857
Cumberland County,NC,0.7695238095238095
Cumberland County,NJ,0.9285714285714285
Cumberland County,PA,0.8089285714285714
Currituck County,NC,0.5103174603174598
Dade County,GA,0.799047619047619
Dakota County,MN,0.39595857043026833
Dallas County,IA,0.6266666666666666
Dallas County,MO,0.8999999999999999
Dallas County,TX,0.5075667115902965
Dane County,WI,0.8226190476190476
Darlington County,SC,0.8371428571428571
Dauphin County,PA,0.8089285714285714
Davidson County,NC,0.4133962264150943
Davidson County,TN,0.5222641509433962
Davie County,NC,0.4133962264150943
Daviess County,KY,0.4064546271338724
Davis County,UT,1.0599999999999998
Dawson County,GA,0.5735079365079365
De Soto Parish,LA,0.8599999999999999
DeKalb County,AL,0.7517857142857143
DeKalb County,GA,0.5735079365079365
DeKalb County,IL,0.4911651991614256
DeSoto County,MS,0.9628571428571427
Dearborn County,IN,0.6791428571428572
Delaware County,IN,0.6207936507936508
Delaware County,OH,0.8192857142857143
Delaware County,PA,0.38780988319856247
Denton County,TX,0.5075667115902965
Denver County,CO,0.44674638115204157
Dickson County,TN,0.5222641509433962
Dinwiddie County,VA,0.392412623539982
District of Columbia,DC,0.44864854746930216
Doddridge County,WV,0.6066666666666666
Dodge County,MN,0.5750000000000001
Dorado Municipio,PR,0.6511666666666667
Dorchester County,MD,0.9057142857142856
Dorchester County,SC,0.39474860736747497
Dougherty County,GA,0.7766666666666667
Douglas County,CO,0.44674638115204157
Douglas County,GA,0.5735079365079365
Douglas County,NE,0.5221333333333334
Douglas County,WI,0.5501904761904757
Doña Ana County,NM,0.5216945193171608
DuPage County,IL,0.4911651991614256
Dubois County,IN,0.47966666666666674
Dunn County,ND,0.45223809523809516
Durham County,NC,0.8628571428571413
Duval County,FL,0.48519766397124886
East Baton Rouge Parish,LA,0.4114077867625038
East Feliciana Parish,LA,0.4114077867625038
Eaton County,MI,0.897142857142857
Echols County,GA,0.7000000000000001
Eddy County,NM,0.601455525606469
Edgecombe County,NC,0.8628571428571413
Edgefield County,SC,0.7867857142857135
Edmonson County,KY,0.8828571428571428
Effingham County,GA,0.6010476190476183
Effingham County,IL,0.9428571428571428
El Dorado County,CA,0.47667656184486373
El Paso County,CO,1.0057142857142858
El Paso County,TX,0.6074992512728362
Elbert County,CO,0.44674638115204157
Elk County,PA,0.857142857142857
Elkhart County,IN,0.897142857142857
Ellis County,TX,0.5075667115902965
Elmore County,AL,0.8314285714285699
Erie County,NY,0.37969493860437253
Erie County,PA,0.4513647798742138
Escambia County,FL,0.5601587301587296
Essex County,MA,0.34346031746031747
Essex County,NJ,0.3789288210042927
Etowah County,AL,0.7849999999999999
Fairfax County,VA,0.44864854746930216
Fairfax city,VA,0.44864854746930216
Fairfield County,OH,0.8192857142857143
Fairfield County,SC,0.7355952380952381
Fajardo Municipio,PR,0.6511666666666667
Falls Church city,VA,0.44864854746930216
Faulkner County,AR,0.5061172506738544
Fauquier County,VA,0.44864854746930216
Fayette County,GA,0.5735079365079365
Fayette County,KY,0.4245846810422282
Fayette County,OH,0.8142857142857127
Fayette County,PA,0.47162314465408806
Fayette County,TN,0.9628571428571427
Fillmore County,MN,0.5750000000000001
Flagler County,FL,0.5897936507936509
Flathead County,MT,0.732142857142857
Florence County,SC,0.8371428571428571
Florida Municipio,PR,0.6511666666666667
Floyd County,IN,0.5204761904761904
Fond du Lac County,WI,0.9199999999999999
Forsyth County,GA,0.5735079365079365
Forsyth County,NC,0.4133962264150943
Fort Bend County,TX,0.45472457821703105
Franklin County,IN,0.6791428571428572
Franklin County,MO,0.47221707097933513
Franklin County,NC,0.7828571428571429
Franklin County,OH,0.8192857142857143
Franklin County,PA,0.8399999999999999
Franklin County,VA,0.3247798742138364
Franklin County,VT,0.8342857142857129
Frederick County,MD,0.44864854746930216
Frederick County,VA,0.8257142857142856
Fredericksburg city,VA,0.44864854746930216
Fremont County,WY,0.5816666666666667
Fresno County,CA,0.6845139862234202
Fulton County,GA,0.5735079365079365
Fulton County,OH,0.8178571428571428
Gadsden County,FL,0.7239285714285714
Gallatin County,KY,0.6791428571428572
Galveston County,TX,0.45472457821703105
Gaston County,NC,0.5726205450733753
Gates County,NC,0.5103174603174598
Gem County,ID,0.3847777777777778
Genesee County,MI,0.7902380952380952
Gila County,AZ,0.8122857142857143
Gilchrist County,FL,0.8399999999999999
Gilpin County,CO,0.44674638115204157
Gloucester County,NJ,0.38780988319856247
Gloucester County,VA,0.5103174603174598
Glynn County,GA,0.7291666666666659
Goliad County,TX,0.8628571428571413
Goochland County,VA,0.392412623539982
Grady County,OK,0.6422539682539682
Grainger County,TN,0.8657142857142857
Grand Isle County,VT,0.8342857142857129
Grand Traverse County,MI,0.9457142857142855
Grant County,AR,0.5061172506738544
Grant County,KY,0.6791428571428572
Grant County,WI,0.6633333333333332
Greater Bridgeport Planning Region,CT,0.8610714285714286
Green County,WI,0.8226190476190476
Greene County,AL,0.8228571428571427
Greene County,MO,0.8999999999999999
Greenup County,KY,0.38657502246181485
Gregg County,TX,0.4661814914645103
Grundy County,IA,0.9114285714285713
Grundy County,IL,0.4911651991614256
Guadalupe County,TX,0.5068475591494459
Guaynabo Municipio,PR,0.6511666666666667
Guilford County,NC,0.7735714285714286
Gurabo Municipio,PR,0.6511666666666667
Guthrie County,IA,0.6266666666666666
Gwinnett County,GA,0.5735079365079365
Hale County,AL,0.8228571428571427
Hall County,GA,0.67
Hamblen County,TN,0.9028571428571429
Hamilton County,IN,0.5999404761904762
Hamilton County,OH,0.6791428571428572
Hamilton County,TN,0.799047619047619
Hampden County,MA,0.3668800539083557
Hampshire County,WV,0.8257142857142856
Hampton city,VA,0.5103174603174598
Hancock County,IN,0.5999404761904762
Hancock County,MS,0.8857142857142857
Hancock County,WV,0.5771071428571428
Hanover County,VA,0.392412623539982
Haralson County,GA,0.5735079365079365
Hardin County,KY,0.7521428571428571
Hardin County,TX,0.4984390536088649
Harford County,MD,0.49842917041030244
Harris County,GA,0.8514285714285713
Harris County,TX,0.45472457821703105
Harrison County,IA,0.5221333333333334
Harrison County,IN,0.5204761904761904
Harrison County,MS,0.8857142857142857
Harrison County,TX,0.4661814914645103
Harrison County,WV,0.6066666666666666
Harvey County,KS,0.46012506738544473
Hawkins County,TN,0.7272619047619047
Hays County,TX,0.7
Heard County,GA,0.5735079365079365
Henderson County,NC,0.6891666666666666
Hendricks County,IN,0.5999404761904762
Hennepin County,MN,0.39595857043026833
Henrico County,VA,0.392412623539982
Henry County,GA,0.5735079365079365
Henry County,IL,0.4883333333333333
Henry County,IN,0.66
Henry County,KY,0.5204761904761904
Hernando County,FL,0.43604204851752015
Hickman County,TN,0.5222641509433962
Hidalgo County,TX,0.8457142857142842
Highlands County,FL,0.848571428571427
Hillsborough County,FL,0.43604204851752015
Hillsborough County,NH,0.8371428571428571
Hocking County,OH,0.8192857142857143
Hoke County,NC,0.7695238095238095
Honolulu County,HI,0.2131851352700409
Hopewell city,VA,0.392412623539982
Houston County,GA,0.7416666666666667
Howard County,MD,0.49842917041030244
Hudson County,NJ,0.3789288210042927
Hudspeth County,TX,0.6074992512728362
Humacao Municipio,PR,0.6511666666666667
Hunt County,TX,0.5075667115902965
Hunterdon County,NJ,0.3789288210042927
Iberville Parish,LA,0.4114077867625038
Imperial County,CA,0.6435564540281521
Indian River County,FL,0.8399999999999999
Ingham County,MI,0.897142857142857
Inyo County,CA,1.2123666666666666
Ionia County,MI,0.5671031746031745
Iowa County,WI,0.8226190476190476
Iredell County,NC,0.5726205450733753
Isanti County,MN,0.39595857043026833
Isle of Wight County,VA,0.5103174603174598
Itawamba County,MS,0.8628571428571413
Jackson County,MO,0.38596292303084756
Jackson County,MS,0.8857142857142857
Jackson County,OR,0.9114285714285713
James City County,VA,0.5103174603174598
Jasper County,GA,0.5735079365079365
Jasper County,IA,0.6266666666666666
Jasper County,IN,0.4911651991614256
Jasper County,MO,0.7573333333333333
Jefferson County,AL,0.4518203174603174
Jefferson County,CO,0.44674638115204157
Jefferson County,FL,0.7239285714285714
Jefferson County,ID,0.897142857142857
Jefferson County,KY,0.5204761904761904
Jefferson County,MO,0.47221707097933513
Jefferson County,NY,0.8742857142857142
Jefferson County,OH,0.5771071428571428
Jefferson County,TN,0.9028571428571429
Jefferson County,TX,0.4984390536088649
Jefferson County,WV,0.44864854746930216
Jefferson Davis Parish,LA,0.5727301587301588
Jefferson Parish,LA,0.5431805929919132
Jersey County,IL,0.47221707097933513
Jessamine County,KY,0.4245846810422282
Johnson County,IA,0.6783333333333333
Johnson County,IN,0.5999404761904762
Johnson County,KS,0.38596292303084756
Johnson County,TX,0.5075667115902965
Johnston County,NC,0.7828571428571429
Jones County,GA,0.7975000000000001
Jones County,IA,0.9142857142857143
Juab County,UT,0.6882222222222222
Juncos Municipio,PR,0.6511666666666667
Juneau City and Borough,AK,0.425
Kalamazoo County,MI,0.8633333333333333
Kalawao County,HI,0.24166666666666667
Kalkaska County,MI,0.9457142857142855
Kanawha County,WV,0.7616666666666667
Kane County,IL,0.4911651991614256
Kaufman County,TX,0.5075667115902965
Kendall County,IL,0.4911651991614256
Kendall County,TX,0.5068475591494459
Kennebec County,ME,0.7742857142857141
Kent County,DE,0.7360714285714285
Kent County,MI,0.5671031746031745
Kent County,RI,0.3493333333333333
Kenton County,KY,0.6791428571428572
Kern County,CA,0.874362084456424
Kershaw County,SC,0.7355952380952381
Kewaunee County,WI,0.5468730158730158
King County,WA,0.7348809523809516
King William County,VA,0.392412623539982
King and Queen County,VA,0.392412623539982
Kings County,CA,1.1140952380952378
Kings County,NY,0.3789288210042927
Klamath County,OR,1.0633333333333335
Knox County,IN,0.9571428571428571
Knox County,TN,0.8657142857142857
La Plata County,CO,0.5096226415094339
LaPorte County,IN,0.8357142857142857
Lackawanna County,PA,0.3827772985923929
Lafayette County,MO,0.38596292303084756
Lafourche Parish,LA,0.7596428571428571
Lake County,CA,0.7571428571428557
Lake County,FL,0.32548547469302186
Lake County,IL,0.4911651991614256
Lake County,IN,0.4911651991614256
Lancaster County,NE,0.7021428571428565
Lancaster County,PA,0.6887142857142856
Lancaster County,SC,0.5726205450733753
Lane County,OR,1.0511746031746032
Lanier County,GA,0.7000000000000001
Lapeer County,MI,0.49359947089947087
Larimer County,CO,0.569973544973545
Larue County,KY,0.7521428571428571
Las Piedras Municipio,PR,0.6511666666666667
Lauderdale County,MS,0.8028571428571414
